x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
2.500000000000000000e+01,-3.410219999999999918e-02,-4.901019999999999682e-02,1.490799999999999764e-02,7.463239999999999874e-01,-1.052630000000000088e+01
2.600000000000000000e+01,-3.348940000000000250e-02,-4.824860000000000260e-02,1.475920000000000010e-02,1.523050000000000015e+00,-1.052630000000000088e+01
2.700000000000000000e+01,-3.284929999999999795e-02,-4.709920000000000079e-02,1.424990000000000284e-02,2.298789999999999889e+00,-1.052630000000000088e+01
2.800000000000000000e+01,-3.223800000000000276e-02,-4.633260000000000156e-02,1.409459999999999880e-02,1.533230000000000093e+00,-1.052630000000000088e+01
2.900000000000000000e+01,-3.159819999999999990e-02,-4.594840000000000035e-02,1.435020000000000046e-02,7.683729999999999727e-01,-1.052630000000000088e+01
3.000000000000000000e+01,-3.098599999999999965e-02,-4.594630000000000242e-02,1.496030000000000276e-02,4.187180000000000415e-03,1.052630000000000088e+01
3.100000000000000000e+01,-3.034540000000000154e-02,-4.632599999999999912e-02,1.598059999999999758e-02,-7.593269999999999742e-01,1.052630000000000088e+01
3.200000000000000000e+01,-2.973490000000000161e-02,-4.708709999999999979e-02,1.735219999999999818e-02,-1.522189999999999932e+00,1.052630000000000088e+01
3.300000000000000000e+01,-2.909700000000000134e-02,-4.746050000000000268e-02,1.836350000000000135e-02,-7.468010000000000481e-01,1.052630000000000088e+01
3.400000000000000000e+01,-2.848569999999999922e-02,-4.744609999999999800e-02,1.896039999999999878e-02,2.874969999999999956e-02,1.052630000000000088e+01
3.500000000000000000e+01,-2.784589999999999982e-02,-4.704389999999999961e-02,1.919799999999999979e-02,8.044350000000000112e-01,-1.052630000000000088e+01
3.600000000000000000e+01,-2.723609999999999920e-02,-4.625440000000000107e-02,1.901830000000000187e-02,1.579120000000000079e+00,-1.052630000000000088e+01
3.700000000000000000e+01,-2.659320000000000087e-02,-4.507800000000000001e-02,1.848479999999999915e-02,2.352759999999999962e+00,-1.052630000000000088e+01
3.800000000000000000e+01,-2.598860000000000059e-02,-4.428529999999999966e-02,1.829669999999999908e-02,1.585390000000000077e+00,-1.052630000000000088e+01
3.900000000000000000e+01,-2.534379999999999966e-02,-4.387590000000000240e-02,1.853210000000000274e-02,8.188100000000000378e-01,-1.052630000000000088e+01
4.000000000000000000e+01,-2.474089999999999970e-02,-4.384939999999999671e-02,1.910849999999999702e-02,5.300389999999999963e-02,1.052630000000000088e+01
4.100000000000000000e+01,-2.409539999999999946e-02,-4.420539999999999886e-02,2.010999999999999940e-02,-7.120450000000000390e-01,1.052630000000000088e+01
4.200000000000000000e+01,-2.349299999999999999e-02,-4.494360000000000022e-02,2.145060000000000022e-02,-1.476359999999999895e+00,1.052630000000000088e+01
4.300000000000000000e+01,-2.284689999999999985e-02,-4.529520000000000074e-02,2.244830000000000089e-02,-7.032789999999999875e-01,1.052630000000000088e+01
4.400000000000000000e+01,-2.224850000000000091e-02,-4.526020000000000043e-02,2.301169999999999952e-02,6.994659999999999767e-02,1.052630000000000088e+01
4.500000000000000000e+01,-2.160770000000000052e-02,-4.483859999999999929e-02,2.323089999999999877e-02,8.432899999999999840e-01,-1.052630000000000088e+01
4.600000000000000000e+01,-2.100389999999999896e-02,-4.403080000000000188e-02,2.302690000000000292e-02,1.615660000000000096e+00,-1.052630000000000088e+01
4.700000000000000000e+01,-2.036599999999999869e-02,-4.283730000000000177e-02,2.247130000000000308e-02,2.387030000000000207e+00,-1.052630000000000088e+01
4.800000000000000000e+01,-1.968699999999999964e-02,-4.202779999999999710e-02,2.234079999999999747e-02,1.618849999999999900e+00,-1.052630000000000088e+01
4.900000000000000000e+01,-1.912310000000000051e-02,-4.160210000000000297e-02,2.247900000000000245e-02,8.515019999999999811e-01,-1.052630000000000088e+01
5.000000000000000000e+01,-1.844480000000000078e-02,-4.155960000000000210e-02,2.311480000000000132e-02,8.496339999999999448e-02,1.052630000000000088e+01
5.100000000000000000e+01,-1.788150000000000156e-02,-4.189999999999999974e-02,2.401849999999999818e-02,-6.807830000000000270e-01,1.052630000000000088e+01
5.200000000000000000e+01,-1.728060000000000013e-02,-4.262289999999999829e-02,2.534229999999999816e-02,-1.445770000000000000e+00,1.052630000000000088e+01
5.300000000000000000e+01,-1.664349999999999857e-02,-4.296029999999999988e-02,2.631680000000000130e-02,-6.748100000000000209e-01,1.052630000000000088e+01
5.400000000000000000e+01,-1.603970000000000048e-02,-4.291210000000000163e-02,2.687240000000000115e-02,9.628860000000000197e-02,1.052630000000000088e+01
5.500000000000000000e+01,-1.540320000000000057e-02,-4.247839999999999949e-02,2.707520000000000066e-02,8.675089999999999746e-01,-1.052630000000000088e+01
5.600000000000000000e+01,-1.472689999999999937e-02,-4.165950000000000208e-02,2.693260000000000098e-02,1.637839999999999963e+00,-1.052630000000000088e+01
5.700000000000000000e+01,-1.416429999999999946e-02,-4.045580000000000009e-02,2.629150000000000237e-02,2.407239999999999824e+00,-1.052630000000000088e+01
5.800000000000000000e+01,-1.356540000000000003e-02,-3.963640000000000219e-02,2.607100000000000389e-02,1.638959999999999972e+00,-1.052630000000000088e+01
