left_x,left_y,left_z,right_x,right_y,right_z,left_roll,left_pitch,left_yaw,right_roll,right_pitch,right_yaw
5.413130000000000441e-01,2.135469999999999868e-01,2.076810000000000045e-01,5.413010000000000321e-01,-2.136250000000000093e-01,2.074189999999999923e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413130000000000441e-01,2.135469999999999868e-01,2.076870000000000105e-01,5.413000000000000034e-01,-2.136250000000000093e-01,2.074139999999999873e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413130000000000441e-01,2.135469999999999868e-01,2.076919999999999877e-01,5.413000000000000034e-01,-2.136250000000000093e-01,2.074080000000000090e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413120000000000154e-01,2.135469999999999868e-01,2.076979999999999937e-01,5.413000000000000034e-01,-2.136250000000000093e-01,2.074030000000000040e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413120000000000154e-01,2.135469999999999868e-01,2.077029999999999987e-01,5.413000000000000034e-01,-2.136250000000000093e-01,2.073969999999999980e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413120000000000154e-01,2.135469999999999868e-01,2.077090000000000047e-01,5.413000000000000034e-01,-2.136250000000000093e-01,2.073909999999999920e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413120000000000154e-01,2.135469999999999868e-01,2.077150000000000107e-01,5.412989999999999746e-01,-2.136250000000000093e-01,2.073850000000000138e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413109999999999866e-01,2.135469999999999868e-01,2.077209999999999890e-01,5.412989999999999746e-01,-2.136250000000000093e-01,2.073790000000000078e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413109999999999866e-01,2.135469999999999868e-01,2.077269999999999950e-01,5.412989999999999746e-01,-2.136250000000000093e-01,2.073730000000000018e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413109999999999866e-01,2.135469999999999868e-01,2.077340000000000020e-01,5.412979999999999459e-01,-2.136250000000000093e-01,2.073669999999999958e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413099999999999579e-01,2.135469999999999868e-01,2.077400000000000080e-01,5.412979999999999459e-01,-2.136250000000000093e-01,2.073599999999999888e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413099999999999579e-01,2.135469999999999868e-01,2.077459999999999862e-01,5.412979999999999459e-01,-2.136250000000000093e-01,2.073540000000000105e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413099999999999579e-01,2.135469999999999868e-01,2.077529999999999932e-01,5.412970000000000281e-01,-2.136250000000000093e-01,2.073470000000000035e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413090000000000401e-01,2.135469999999999868e-01,2.077589999999999992e-01,5.412970000000000281e-01,-2.136250000000000093e-01,2.073409999999999975e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
